encoder,classificador,teste,batch,n_models,combination,fusion_method,value
PKLot,camera1,camera1,64,2,"(0, 1)",sum,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 1)",mean_probs,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 1)",max,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 1)",mult,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 1)",vote,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 2)",sum,0.9331131296449215
PKLot,camera1,camera1,64,2,"(0, 2)",mean_probs,0.9331131296449215
PKLot,camera1,camera1,64,2,"(0, 2)",max,0.9331131296449215
PKLot,camera1,camera1,64,2,"(0, 2)",mult,0.9331131296449215
PKLot,camera1,camera1,64,2,"(0, 2)",vote,0.9331131296449215
PKLot,camera1,camera1,64,2,"(0, 3)",sum,0.9200660611065236
PKLot,camera1,camera1,64,2,"(0, 3)",mean_probs,0.9200660611065236
PKLot,camera1,camera1,64,2,"(0, 3)",max,0.9200660611065236
PKLot,camera1,camera1,64,2,"(0, 3)",mult,0.9200660611065236
PKLot,camera1,camera1,64,2,"(0, 3)",vote,0.9200660611065236
PKLot,camera1,camera1,64,2,"(0, 4)",sum,0.9212221304706854
PKLot,camera1,camera1,64,2,"(0, 4)",mean_probs,0.9212221304706854
PKLot,camera1,camera1,64,2,"(0, 4)",max,0.9212221304706854
PKLot,camera1,camera1,64,2,"(0, 4)",mult,0.9212221304706854
PKLot,camera1,camera1,64,2,"(0, 4)",vote,0.9212221304706854
PKLot,camera1,camera1,64,2,"(0, 5)",sum,0.925681255161024
PKLot,camera1,camera1,64,2,"(0, 5)",mean_probs,0.925681255161024
PKLot,camera1,camera1,64,2,"(0, 5)",max,0.925681255161024
PKLot,camera1,camera1,64,2,"(0, 5)",mult,0.925681255161024
PKLot,camera1,camera1,64,2,"(0, 5)",vote,0.925681255161024
PKLot,camera1,camera1,64,2,"(0, 6)",sum,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 6)",mean_probs,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 6)",max,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 6)",mult,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 6)",vote,0.9192402972749794
PKLot,camera1,camera1,64,2,"(0, 7)",sum,0.9383980181668043
PKLot,camera1,camera1,64,2,"(0, 7)",mean_probs,0.9383980181668043
PKLot,camera1,camera1,64,2,"(0, 7)",max,0.9383980181668043
PKLot,camera1,camera1,64,2,"(0, 7)",mult,0.9383980181668043
PKLot,camera1,camera1,64,2,"(0, 7)",vote,0.9383980181668043
PKLot,camera1,camera1,64,2,"(0, 8)",sum,0.9334434351775392
PKLot,camera1,camera1,64,2,"(0, 8)",mean_probs,0.9334434351775392
PKLot,camera1,camera1,64,2,"(0, 8)",max,0.9334434351775392
PKLot,camera1,camera1,64,2,"(0, 8)",mult,0.9334434351775392
PKLot,camera1,camera1,64,2,"(0, 8)",vote,0.9334434351775392
PKLot,camera1,camera1,64,2,"(0, 9)",sum,0.9152766308835673
PKLot,camera1,camera1,64,2,"(0, 9)",mean_probs,0.9152766308835673
PKLot,camera1,camera1,64,2,"(0, 9)",max,0.9152766308835673
PKLot,camera1,camera1,64,2,"(0, 9)",mult,0.9152766308835673
PKLot,camera1,camera1,64,2,"(0, 9)",vote,0.9152766308835673
PKLot,camera1,camera1,64,2,"(1, 2)",sum,0.9174236168455822
PKLot,camera1,camera1,64,2,"(1, 2)",mean_probs,0.9174236168455822
PKLot,camera1,camera1,64,2,"(1, 2)",max,0.9174236168455822
PKLot,camera1,camera1,64,2,"(1, 2)",mult,0.9174236168455822
PKLot,camera1,camera1,64,2,"(1, 2)",vote,0.9174236168455822
PKLot,camera1,camera1,64,2,"(1, 3)",sum,0.9027250206440958
PKLot,camera1,camera1,64,2,"(1, 3)",mean_probs,0.9027250206440958
PKLot,camera1,camera1,64,2,"(1, 3)",max,0.9027250206440958
PKLot,camera1,camera1,64,2,"(1, 3)",mult,0.9027250206440958
PKLot,camera1,camera1,64,2,"(1, 3)",vote,0.9027250206440958
PKLot,camera1,camera1,64,2,"(1, 4)",sum,0.8933113129644922
PKLot,camera1,camera1,64,2,"(1, 4)",mean_probs,0.8933113129644922
PKLot,camera1,camera1,64,2,"(1, 4)",max,0.8933113129644922
PKLot,camera1,camera1,64,2,"(1, 4)",mult,0.8933113129644922
PKLot,camera1,camera1,64,2,"(1, 4)",vote,0.8933113129644922
PKLot,camera1,camera1,64,2,"(1, 5)",sum,0.9081750619322874
PKLot,camera1,camera1,64,2,"(1, 5)",mean_probs,0.9081750619322874
PKLot,camera1,camera1,64,2,"(1, 5)",max,0.9081750619322874
PKLot,camera1,camera1,64,2,"(1, 5)",mult,0.9081750619322874
PKLot,camera1,camera1,64,2,"(1, 5)",vote,0.9081750619322874
PKLot,camera1,camera1,64,2,"(1, 6)",sum,0.9032204789430223
PKLot,camera1,camera1,64,2,"(1, 6)",mean_probs,0.9032204789430223
PKLot,camera1,camera1,64,2,"(1, 6)",max,0.9032204789430223
PKLot,camera1,camera1,64,2,"(1, 6)",mult,0.9032204789430223
PKLot,camera1,camera1,64,2,"(1, 6)",vote,0.9032204789430223
PKLot,camera1,camera1,64,2,"(1, 7)",sum,0.929644921552436
PKLot,camera1,camera1,64,2,"(1, 7)",mean_probs,0.929644921552436
PKLot,camera1,camera1,64,2,"(1, 7)",max,0.929644921552436
