tipo_encoder,dataset_encoder,dataset_test,batch,tecnica_fusao,precision,precision_std,accuracy,accuracy_std
Encoder,camera1,camera1,64,mean_individual_models,0.858242,0.021513,0.842593,0.026827
Encoder,camera1,camera1,64,sum,0.886033,0.0,0.872337,0.0
Encoder,camera1,camera1,64,mean_probs,0.886033,0.0,0.872337,0.0
Encoder,camera1,camera1,64,max,0.891126,0.0,0.879604,0.0
Encoder,camera1,camera1,64,mult,0.890226,0.0,0.876961,0.0
Encoder,camera1,camera1,64,vote,0.885169,0.0,0.871841,0.0
Encoder,camera1,camera2,64,mean_individual_models,0.918131,0.026144,0.912245,0.025267
Encoder,camera1,camera2,64,sum,0.951646,0.0,0.946712,0.0
Encoder,camera1,camera2,64,mean_probs,0.951646,0.0,0.946712,0.0
Encoder,camera1,camera2,64,max,0.93988,0.0,0.931973,0.0
Encoder,camera1,camera2,64,mult,0.945233,0.0,0.938776,0.0
Encoder,camera1,camera2,64,vote,0.949795,0.0,0.944444,0.0
Encoder,camera1,camera3,64,mean_individual_models,0.852674,0.037655,0.844485,0.033558
Encoder,camera1,camera3,64,sum,0.904773,0.0,0.895545,0.0
Encoder,camera1,camera3,64,mean_probs,0.904773,0.0,0.895545,0.0
Encoder,camera1,camera3,64,max,0.911511,0.0,0.902611,0.0
Encoder,camera1,camera3,64,mult,0.903118,0.0,0.890937,0.0
Encoder,camera1,camera3,64,vote,0.902501,0.0,0.894009,0.0
Encoder,camera1,camera4,64,mean_individual_models,0.863831,0.017151,0.846087,0.022645
Encoder,camera1,camera4,64,sum,0.89092,0.0,0.876426,0.0
Encoder,camera1,camera4,64,mean_probs,0.89092,0.0,0.876426,0.0
Encoder,camera1,camera4,64,max,0.878736,0.0,0.86424,0.0
Encoder,camera1,camera4,64,mult,0.885051,0.0,0.868458,0.0
Encoder,camera1,camera4,64,vote,0.890291,0.0,0.875957,0.0
Encoder,camera1,camera5,64,mean_individual_models,0.822102,0.026026,0.794225,0.040007
Encoder,camera1,camera5,64,sum,0.854054,0.0,0.826526,0.0
Encoder,camera1,camera5,64,mean_probs,0.854054,0.0,0.826526,0.0
Encoder,camera1,camera5,64,max,0.847449,0.0,0.815327,0.0
Encoder,camera1,camera5,64,mult,0.852585,0.0,0.822574,0.0
Encoder,camera1,camera5,64,vote,0.853367,0.0,0.826746,0.0
Encoder,camera1,camera6,64,mean_individual_models,0.863639,0.022459,0.847254,0.024898
Encoder,camera1,camera6,64,sum,0.895779,0.0,0.877596,0.0
Encoder,camera1,camera6,64,mean_probs,0.895779,0.0,0.877596,0.0
Encoder,camera1,camera6,64,max,0.897344,0.0,0.883941,0.0
Encoder,camera1,camera6,64,mult,0.89642,0.0,0.878634,0.0
Encoder,camera1,camera6,64,vote,0.895211,0.0,0.877134,0.0
Encoder,camera1,camera7,64,mean_individual_models,0.826821,0.023932,0.772338,0.043595
Encoder,camera1,camera7,64,sum,0.842996,0.0,0.780723,0.0
Encoder,camera1,camera7,64,mean_probs,0.842996,0.0,0.780723,0.0
Encoder,camera1,camera7,64,max,0.833581,0.0,0.764862,0.0
Encoder,camera1,camera7,64,mult,0.836748,0.0,0.767303,0.0
Encoder,camera1,camera7,64,vote,0.843988,0.0,0.783496,0.0
Encoder,camera1,camera8,64,mean_individual_models,0.850206,0.020046,0.829495,0.0242
Encoder,camera1,camera8,64,sum,0.885413,0.0,0.864101,0.0
Encoder,camera1,camera8,64,mean_probs,0.885413,0.0,0.864101,0.0
Encoder,camera1,camera8,64,max,0.87608,0.0,0.856289,0.0
Encoder,camera1,camera8,64,mult,0.882244,0.0,0.859761,0.0
Encoder,camera1,camera8,64,vote,0.886053,0.0,0.865258,0.0
Encoder,camera1,camera9,64,mean_individual_models,0.838078,0.023525,0.816633,0.033949
Encoder,camera1,camera9,64,sum,0.880277,0.0,0.861557,0.0
Encoder,camera1,camera9,64,mean_probs,0.880277,0.0,0.861557,0.0
Encoder,camera1,camera9,64,max,0.87518,0.0,0.858949,0.0
Encoder,camera1,camera9,64,mult,0.879315,0.0,0.859952,0.0
Encoder,camera1,camera9,64,vote,0.880272,0.0,0.861958,0.0
Encoder,camera1,PUC,64,mean_individual_models,0.713357,0.060265,0.684542,0.061523
Encoder,camera1,PUC,64,sum,0.778726,0.0,0.77388,0.0
Encoder,camera1,PUC,64,mean_probs,0.778726,0.0,0.77388,0.0
Encoder,camera1,PUC,64,max,0.675077,0.0,0.662094,0.0
Encoder,camera1,PUC,64,mult,0.696184,0.0,0.696184,0.0
Encoder,camera1,PUC,64,vote,0.778907,0.0,0.77414,0.0
Encoder,camera1,UFPR04,64,mean_individual_models,0.587999,0.164875,0.570924,0.1299
Encoder,camera1,UFPR04,64,sum,0.737521,0.0,0.737464,0.0
Encoder,camera1,UFPR04,64,mean_probs,0.737521,0.0,0.737464,0.0
Encoder,camera1,UFPR04,64,max,0.500615,0.0,0.467622,0.0
Encoder,camera1,UFPR04,64,mult,0.582102,0.0,0.569351,0.0
Encoder,camera1,UFPR04,64,vote,0.737525,0.0,0.73751,0.0
Encoder,camera1,UFPR05,64,mean_individual_models,0.637603,0.074191,0.611288,0.067299
Encoder,camera1,UFPR05,64,sum,0.67239,0.0,0.638101,0.0
Encoder,camera1,UFPR05,64,mean_probs,0.67239,0.0,0.638101,0.0
Encoder,camera1,UFPR05,64,max,0.70784,0.0,0.672365,0.0
Encoder,camera1,UFPR05,64,mult,0.679007,0.0,0.638579,0.0
Encoder,camera1,UFPR05,64,vote,0.671413,0.0,0.637496,0.0
Encoder,camera1,camera1,128,mean_individual_models,0.884722,0.017044,0.876036,0.023078
Encoder,camera1,camera1,128,sum,0.907704,0.0,0.90322,0.0
Encoder,camera1,camera1,128,mean_probs,0.907704,0.0,0.90322,0.0
Encoder,camera1,camera1,128,max,0.92268,0.0,0.921222,0.0
Encoder,camera1,camera1,128,mult,0.911103,0.0,0.907184,0.0
Encoder,camera1,camera1,128,vote,0.908103,0.0,0.903716,0.0
Encoder,camera1,camera2,128,mean_individual_models,0.929595,0.01494,0.924603,0.016948
Encoder,camera1,camera2,128,sum,0.953677,0.0,0.950113,0.0
Encoder,camera1,camera2,128,mean_probs,0.953677,0.0,0.950113,0.0
Encoder,camera1,camera2,128,max,0.961134,0.0,0.95805,0.0
Encoder,camera1,camera2,128,mult,0.940237,0.0,0.933107,0.0
Encoder,camera1,camera2,128,vote,0.953677,0.0,0.950113,0.0
Encoder,camera1,camera3,128,mean_individual_models,0.861713,0.033519,0.851244,0.035201
Encoder,camera1,camera3,128,sum,0.89726,0.0,0.886636,0.0
Encoder,camera1,camera3,128,mean_probs,0.89726,0.0,0.886636,0.0
Encoder,camera1,camera3,128,max,0.910965,0.0,0.904455,0.0
Encoder,camera1,camera3,128,mult,0.896959,0.0,0.886022,0.0
Encoder,camera1,camera3,128,vote,0.89582,0.0,0.885407,0.0
Encoder,camera1,camera4,128,mean_individual_models,0.890114,0.023588,0.878363,0.032456
Encoder,camera1,camera4,128,sum,0.91197,0.0,0.904702,0.0
Encoder,camera1,camera4,128,mean_probs,0.91197,0.0,0.904702,0.0
Encoder,camera1,camera4,128,max,0.897816,0.0,0.89033,0.0
