Fusao,Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
SumFusion,CNR,PUC,PUC,0.501,64
SumFusion,CNR,PUC,PUC,0.502,128
SumFusion,CNR,PUC,PUC,0.502,256
SumFusion,CNR,PUC,PUC,0.501,512
SumFusion,CNR,PUC,PUC,0.501,1024
SumFusion,CNR,PUC,UFPR04,0.507,64
SumFusion,CNR,PUC,UFPR04,0.506,128
SumFusion,CNR,PUC,UFPR04,0.503,256
SumFusion,CNR,PUC,UFPR04,0.501,512
SumFusion,CNR,PUC,UFPR04,0.501,1024
SumFusion,CNR,PUC,UFPR05,0.51,64
SumFusion,CNR,PUC,UFPR05,0.51,128
SumFusion,CNR,PUC,UFPR05,0.517,256
SumFusion,CNR,PUC,UFPR05,0.515,512
SumFusion,CNR,PUC,UFPR05,0.517,1024
SumFusion,CNR,UFPR04,PUC,0.501,64
SumFusion,CNR,UFPR04,PUC,0.5,128
SumFusion,CNR,UFPR04,PUC,0.501,256
SumFusion,CNR,UFPR04,PUC,0.501,512
SumFusion,CNR,UFPR04,PUC,0.501,1024
SumFusion,CNR,UFPR04,UFPR04,0.505,64
SumFusion,CNR,UFPR04,UFPR04,0.505,128
SumFusion,CNR,UFPR04,UFPR04,0.506,256
SumFusion,CNR,UFPR04,UFPR04,0.506,512
SumFusion,CNR,UFPR04,UFPR04,0.505,1024
SumFusion,CNR,UFPR04,UFPR05,0.54,64
SumFusion,CNR,UFPR04,UFPR05,0.529,128
SumFusion,CNR,UFPR04,UFPR05,0.515,256
SumFusion,CNR,UFPR04,UFPR05,0.522,512
SumFusion,CNR,UFPR04,UFPR05,0.523,1024
SumFusion,CNR,UFPR05,PUC,0.501,64
SumFusion,CNR,UFPR05,PUC,0.502,128
SumFusion,CNR,UFPR05,PUC,0.501,256
SumFusion,CNR,UFPR05,PUC,0.501,512
SumFusion,CNR,UFPR05,PUC,0.5,1024
SumFusion,CNR,UFPR05,UFPR04,0.524,64
SumFusion,CNR,UFPR05,UFPR04,0.52,128
SumFusion,CNR,UFPR05,UFPR04,0.518,256
SumFusion,CNR,UFPR05,UFPR04,0.512,512
SumFusion,CNR,UFPR05,UFPR04,0.508,1024
SumFusion,CNR,UFPR05,UFPR05,0.508,64
SumFusion,CNR,UFPR05,UFPR05,0.51,128
SumFusion,CNR,UFPR05,UFPR05,0.51,256
SumFusion,CNR,UFPR05,UFPR05,0.51,512
SumFusion,CNR,UFPR05,UFPR05,0.51,1024
MultFusion,CNR,PUC,PUC,0.501,64
MultFusion,CNR,PUC,PUC,0.502,128
MultFusion,CNR,PUC,PUC,0.501,256
MultFusion,CNR,PUC,PUC,0.501,512
MultFusion,CNR,PUC,PUC,0.501,1024
MultFusion,CNR,PUC,UFPR04,0.506,64
MultFusion,CNR,PUC,UFPR04,0.505,128
MultFusion,CNR,PUC,UFPR04,0.503,256
MultFusion,CNR,PUC,UFPR04,0.501,512
MultFusion,CNR,PUC,UFPR04,0.501,1024
MultFusion,CNR,PUC,UFPR05,0.509,64
MultFusion,CNR,PUC,UFPR05,0.511,128
MultFusion,CNR,PUC,UFPR05,0.518,256
MultFusion,CNR,PUC,UFPR05,0.516,512
MultFusion,CNR,PUC,UFPR05,0.517,1024
MultFusion,CNR,UFPR04,PUC,0.501,64
MultFusion,CNR,UFPR04,PUC,0.501,128
MultFusion,CNR,UFPR04,PUC,0.501,256
MultFusion,CNR,UFPR04,PUC,0.501,512
MultFusion,CNR,UFPR04,PUC,0.501,1024
MultFusion,CNR,UFPR04,UFPR04,0.505,64
MultFusion,CNR,UFPR04,UFPR04,0.505,128
MultFusion,CNR,UFPR04,UFPR04,0.506,256
MultFusion,CNR,UFPR04,UFPR04,0.506,512
MultFusion,CNR,UFPR04,UFPR04,0.505,1024
MultFusion,CNR,UFPR04,UFPR05,0.535,64
MultFusion,CNR,UFPR04,UFPR05,0.529,128
MultFusion,CNR,UFPR04,UFPR05,0.513,256
MultFusion,CNR,UFPR04,UFPR05,0.522,512
MultFusion,CNR,UFPR04,UFPR05,0.523,1024
MultFusion,CNR,UFPR05,PUC,0.501,64
MultFusion,CNR,UFPR05,PUC,0.502,128
MultFusion,CNR,UFPR05,PUC,0.501,256
MultFusion,CNR,UFPR05,PUC,0.501,512
MultFusion,CNR,UFPR05,PUC,0.501,1024
MultFusion,CNR,UFPR05,UFPR04,0.526,64
MultFusion,CNR,UFPR05,UFPR04,0.523,128
MultFusion,CNR,UFPR05,UFPR04,0.517,256
MultFusion,CNR,UFPR05,UFPR04,0.512,512
MultFusion,CNR,UFPR05,UFPR04,0.508,1024
MultFusion,CNR,UFPR05,UFPR05,0.509,64
MultFusion,CNR,UFPR05,UFPR05,0.51,128
MultFusion,CNR,UFPR05,UFPR05,0.51,256
MultFusion,CNR,UFPR05,UFPR05,0.51,512
MultFusion,CNR,UFPR05,UFPR05,0.51,1024
VoteFusion,CNR,PUC,PUC,0.501,64
VoteFusion,CNR,PUC,PUC,0.502,128
VoteFusion,CNR,PUC,PUC,0.501,256
VoteFusion,CNR,PUC,PUC,0.501,512
VoteFusion,CNR,PUC,PUC,0.501,1024
VoteFusion,CNR,PUC,UFPR04,0.506,64
VoteFusion,CNR,PUC,UFPR04,0.505,128
VoteFusion,CNR,PUC,UFPR04,0.502,256
VoteFusion,CNR,PUC,UFPR04,0.5,512
VoteFusion,CNR,PUC,UFPR04,0.501,1024
VoteFusion,CNR,PUC,UFPR05,0.515,64
VoteFusion,CNR,PUC,UFPR05,0.513,128
VoteFusion,CNR,PUC,UFPR05,0.519,256
VoteFusion,CNR,PUC,UFPR05,0.517,512
VoteFusion,CNR,PUC,UFPR05,0.519,1024
VoteFusion,CNR,UFPR04,PUC,0.501,64
VoteFusion,CNR,UFPR04,PUC,0.501,128
VoteFusion,CNR,UFPR04,PUC,0.501,256
VoteFusion,CNR,UFPR04,PUC,0.501,512
VoteFusion,CNR,UFPR04,PUC,0.501,1024
VoteFusion,CNR,UFPR04,UFPR04,0.505,64
VoteFusion,CNR,UFPR04,UFPR04,0.505,128
VoteFusion,CNR,UFPR04,UFPR04,0.506,256
VoteFusion,CNR,UFPR04,UFPR04,0.506,512
VoteFusion,CNR,UFPR04,UFPR04,0.505,1024
VoteFusion,CNR,UFPR04,UFPR05,0.55,64
VoteFusion,CNR,UFPR04,UFPR05,0.529,128
VoteFusion,CNR,UFPR04,UFPR05,0.518,256
VoteFusion,CNR,UFPR04,UFPR05,0.524,512
VoteFusion,CNR,UFPR04,UFPR05,0.525,1024
VoteFusion,CNR,UFPR05,PUC,0.502,64
VoteFusion,CNR,UFPR05,PUC,0.502,128
VoteFusion,CNR,UFPR05,PUC,0.501,256
VoteFusion,CNR,UFPR05,PUC,0.5,512
VoteFusion,CNR,UFPR05,PUC,0.5,1024
VoteFusion,CNR,UFPR05,UFPR04,0.521,64
VoteFusion,CNR,UFPR05,UFPR04,0.517,128
VoteFusion,CNR,UFPR05,UFPR04,0.517,256
VoteFusion,CNR,UFPR05,UFPR04,0.511,512
