modelo,encoder,classificador,teste,batch,value
Modelo1,CNR,PUC,PUC,64,0.9495815179146266
Modelo1,CNR,PUC,PUC,128,0.9775352228660408
Modelo1,CNR,PUC,PUC,256,0.9856054140651904
Modelo1,CNR,PUC,PUC,512,0.9882645345790474
Modelo1,CNR,PUC,PUC,1024,0.9884442048840378
Modelo1,CNR,PUC,UFPR04,64,0.8336592878130816
Modelo1,CNR,PUC,UFPR04,128,0.8714700074638851
Modelo1,CNR,PUC,UFPR04,256,0.9293292896081933
Modelo1,CNR,PUC,UFPR04,512,0.9298583751405384
Modelo1,CNR,PUC,UFPR04,1024,0.9086760579348658
Modelo1,CNR,PUC,UFPR05,64,0.7270259673673735
Modelo1,CNR,PUC,UFPR05,128,0.7818560183370027
Modelo1,CNR,PUC,UFPR05,256,0.758838254365594
Modelo1,CNR,PUC,UFPR05,512,0.8066350996772929
Modelo1,CNR,PUC,UFPR05,1024,0.7871821938052297
Modelo1,CNR,UFPR04,PUC,64,0.9073553296261636
Modelo1,CNR,UFPR04,PUC,128,0.9220080005091662
Modelo1,CNR,UFPR04,PUC,256,0.9524990394203049
Modelo1,CNR,UFPR04,PUC,512,0.9383484629546253
Modelo1,CNR,UFPR04,PUC,1024,0.9485129283419333
Modelo1,CNR,UFPR04,UFPR04,64,0.9470054532334954
Modelo1,CNR,UFPR04,UFPR04,128,0.9705336125010351
Modelo1,CNR,UFPR04,UFPR04,256,0.9710422655168742
Modelo1,CNR,UFPR04,UFPR04,512,0.974661982327265
Modelo1,CNR,UFPR04,UFPR04,1024,0.9746028366277488
Modelo1,CNR,UFPR04,UFPR05,64,0.7813794975419972
Modelo1,CNR,UFPR04,UFPR05,128,0.8966613384805622
Modelo1,CNR,UFPR04,UFPR05,256,0.923171577645746
Modelo1,CNR,UFPR04,UFPR05,512,0.9164821907892753
Modelo1,CNR,UFPR04,UFPR05,1024,0.8120577856862804
Modelo1,CNR,UFPR05,PUC,64,0.6696737329187715
Modelo1,CNR,UFPR05,PUC,128,0.7796701263250696
Modelo1,CNR,UFPR05,PUC,256,0.8101564507346372
Modelo1,CNR,UFPR05,PUC,512,0.7101500861575162
Modelo1,CNR,UFPR05,PUC,1024,0.755993899434967
Modelo1,CNR,UFPR05,UFPR04,64,0.776423570760466
Modelo1,CNR,UFPR05,UFPR04,128,0.831344538609072
Modelo1,CNR,UFPR05,UFPR04,256,0.8360685165764387
Modelo1,CNR,UFPR05,UFPR04,512,0.8545109265610386
Modelo1,CNR,UFPR05,UFPR04,1024,0.8639683304517067
Modelo1,CNR,UFPR05,UFPR05,64,0.9545195875349981
Modelo1,CNR,UFPR05,UFPR05,128,0.9746420523093032
Modelo1,CNR,UFPR05,UFPR05,256,0.9753249413853543
Modelo1,CNR,UFPR05,UFPR05,512,0.9784814064479904
Modelo1,CNR,UFPR05,UFPR05,1024,0.9807652910245612
Modelo1,Kyoto,PUC,PUC,64,0.9458144305199958
Modelo1,Kyoto,PUC,PUC,128,0.9712437676862956
Modelo1,Kyoto,PUC,PUC,256,0.9801913488748147
Modelo1,Kyoto,PUC,PUC,512,0.9796852775157586
Modelo1,Kyoto,PUC,PUC,1024,0.9845603317911632
Modelo1,Kyoto,PUC,UFPR04,64,0.8194968018669161
Modelo1,Kyoto,PUC,UFPR04,128,0.879311810889714
Modelo1,Kyoto,PUC,UFPR04,256,0.915686441238438
Modelo1,Kyoto,PUC,UFPR04,512,0.9030167323299604
Modelo1,Kyoto,PUC,UFPR04,1024,0.9202498039549144
Modelo1,Kyoto,PUC,UFPR05,64,0.8287782368730585
Modelo1,Kyoto,PUC,UFPR05,128,0.7227674397563109
Modelo1,Kyoto,PUC,UFPR05,256,0.8026419760533221
Modelo1,Kyoto,PUC,UFPR05,512,0.8174322164248876
Modelo1,Kyoto,PUC,UFPR05,1024,0.8065566848629249
Modelo1,Kyoto,PUC,camera1,64,0.1286032453070315
Modelo1,Kyoto,PUC,camera1,128,0.12115812917594655
Modelo1,Kyoto,PUC,camera1,256,0.10467706013363029
Modelo1,Kyoto,PUC,camera1,512,0.13954820235443843
Modelo1,Kyoto,PUC,camera1,1024,0.11485841552656698
Modelo1,Kyoto,PUC,camera2,64,0.1824175824175824
Modelo1,Kyoto,PUC,camera2,128,0.1330891330891331
Modelo1,Kyoto,PUC,camera2,256,0.09230769230769231
Modelo1,Kyoto,PUC,camera2,512,0.12991452991452992
Modelo1,Kyoto,PUC,camera2,1024,0.08937728937728938
Modelo1,Kyoto,PUC,camera3,64,0.14560236511456023
Modelo1,Kyoto,PUC,camera3,128,0.18678069897582092
Modelo1,Kyoto,PUC,camera3,256,0.11719987329743427
Modelo1,Kyoto,PUC,camera3,512,0.11962833914053426
Modelo1,Kyoto,PUC,camera3,1024,0.10864745011086474
Modelo1,Kyoto,PUC,camera4,64,0.09942084942084942
Modelo1,Kyoto,PUC,camera4,128,0.0999638030888031
Modelo1,Kyoto,PUC,camera4,256,0.06563706563706563
Modelo1,Kyoto,PUC,camera4,512,0.07432432432432433
Modelo1,Kyoto,PUC,camera4,1024,0.0645511583011583
Modelo1,Kyoto,PUC,camera5,64,0.11771763125059986
Modelo1,Kyoto,PUC,camera5,128,0.12088492177752183
Modelo1,Kyoto,PUC,camera5,256,0.09405893079950091
Modelo1,Kyoto,PUC,camera5,512,0.09281121028889529
Modelo1,Kyoto,PUC,camera5,1024,0.08911603800748633
Modelo1,Kyoto,PUC,camera6,64,0.11358663218619455
Modelo1,Kyoto,PUC,camera6,128,0.11587427889397255
Modelo1,Kyoto,PUC,camera6,256,0.07146409389297792
Modelo1,Kyoto,PUC,camera6,512,0.08021682912273721
Modelo1,Kyoto,PUC,camera6,1024,0.0692759100855381
Modelo1,Kyoto,PUC,camera7,64,0.17746518897414038
Modelo1,Kyoto,PUC,camera7,128,0.12262006251776073
Modelo1,Kyoto,PUC,camera7,256,0.13545514824287203
Modelo1,Kyoto,PUC,camera7,512,0.15667329733825897
Modelo1,Kyoto,PUC,camera7,1024,0.12773515203182723
Modelo1,Kyoto,PUC,camera8,64,0.11900016608536788
Modelo1,Kyoto,PUC,camera8,128,0.14241820295631955
Modelo1,Kyoto,PUC,camera8,256,0.09549908653047666
Modelo1,Kyoto,PUC,camera8,512,0.0966616841056303
Modelo1,Kyoto,PUC,camera8,1024,0.09138847367546919
Modelo1,Kyoto,PUC,camera9,64,0.2423634680654119
Modelo1,Kyoto,PUC,camera9,128,0.15465905584696082
Modelo1,Kyoto,PUC,camera9,256,0.1505708114779389
Modelo1,Kyoto,PUC,camera9,512,0.18682505399568033
Modelo1,Kyoto,PUC,camera9,1024,0.1320580067880284
Modelo1,Kyoto,UFPR04,PUC,64,0.8665112452648724
Modelo1,Kyoto,UFPR04,PUC,128,0.8806028904609132
Modelo1,Kyoto,UFPR04,PUC,256,0.900474514583132
Modelo1,Kyoto,UFPR04,PUC,512,0.899866343880459
Modelo1,Kyoto,UFPR04,PUC,1024,0.9222083668259382
Modelo1,Kyoto,UFPR04,UFPR04,64,0.9285519949844446
Modelo1,Kyoto,UFPR04,UFPR04,128,0.9469463075339792
Modelo1,Kyoto,UFPR04,UFPR04,256,0.946484971077753
Modelo1,Kyoto,UFPR04,UFPR04,512,0.9645835551297065
Modelo1,Kyoto,UFPR04,UFPR04,1024,0.9659675644983853
Modelo1,Kyoto,UFPR04,UFPR05,64,0.6897608348161776
Modelo1,Kyoto,UFPR04,UFPR05,128,0.7137256084688
Modelo1,Kyoto,UFPR04,UFPR05,256,0.7761257049793407
Modelo1,Kyoto,UFPR04,UFPR05,512,0.7681213620050065
Modelo1,Kyoto,UFPR04,UFPR05,1024,0.8716832041499533
Modelo1,Kyoto,UFPR04,camera1,64,0.1963728921412663
Modelo1,Kyoto,UFPR04,camera1,128,0.18402799872733058
Modelo1,Kyoto,UFPR04,camera1,256,0.2753420299077315
Modelo1,Kyoto,UFPR04,camera1,512,0.1436207445116131
Modelo1,Kyoto,UFPR04,camera1,1024,0.2050270442252625
